Age,CustFor,Education,Marital_Status,Child,Income,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,TotMnt,TotPurch,TotCmp,Cluster
59,1394,Graduate,Alone,0,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,25,0,2
62,844,Graduate,Alone,2,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,6,0,4
51,1043,Graduate,Partner,0,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,21,0,3
32,870,Graduate,Partner,1,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,8,0,1
35,892,PhD,Partner,1,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,19,0,1
49,1024,Master,Partner,1,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,22,0,3
45,1324,Graduate,Alone,1,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,21,0,3
31,1148,PhD,Partner,1,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,10,0,1
42,1119,PhD,Partner,1,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,6,0,1
66,839,PhD,Partner,2,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,0,49,2,1,4
33,957,Graduate,Partner,1,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,19,4,0,1
40,1324,Basic,Partner,0,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,6,0,1
57,957,Graduate,Alone,0,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,16,0,2
64,957,Master,Alone,2,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,15,0,4
29,1358,Graduate,Partner,0,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,5,0,1
70,1313,PhD,Alone,0,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,0,1,1315,26,2,3
36,1283,Graduate,Partner,2,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,9,0,1
70,1398,Graduate,Partner,0,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,13,0,3
67,1189,Master,Partner,1,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0,1782,26,1,3
31,1334,Master,Alone,1,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,8,0,1
34,1421,Graduate,Partner,0,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,12,0,1
37,1270,Graduate,Partner,1,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,43,0,1
67,1284,PhD,Partner,1,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0,972,17,1,3
62,900,PhD,Partner,1,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,20,0,4
65,1199,Graduate,Partner,1,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,20,0,3
47,1274,Graduate,Alone,0,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,8,0,1
40,1129,Graduate,Partner,2,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,14,0,1
30,1225,Graduate,Alone,1,51381.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,637,27,0,2
27,1125,Graduate,Partner,1,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,9,0,1
51,950,PhD,Partner,0,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,0,1672,26,1,2
27,769,Master,Alone,0,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,8,0,1
53,1145,Master,Partner,0,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,11,0,3
46,1358,Graduate,Partner,1,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,0,120,9,1,1
64,1339,PhD,Alone,2,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,17,0,3
70,1225,Master,Partner,0,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,18,0,2
